2023-01-02/16:01:05		Encoding has been started.... 
2023-01-02/16:21:26		Encoding has been started.... 
2023-01-02/16:21:26		Encoding succesfully finished !!!!
2023-01-02/16:22:52		Encoding has been started.... 
2023-01-02/16:22:52		Encoding succesfully finished !!!!
2023-01-02/16:25:50		Encoding has been started.... 
2023-01-02/16:25:50		Encoding succesfully finished !!!!
2023-01-02/16:28:16		Encoding has been started.... 
2023-01-02/16:28:16		Encoding succesfully finished !!!!
2023-01-02/16:30:32		Encoding has been started.... 
2023-01-02/16:30:32		Encoding succesfully finished !!!!
2023-01-02/16:33:00		Encoding has been started.... 
2023-01-02/16:33:00		Encoding succesfully finished !!!!
2023-01-02/16:35:17		Encoding has been started.... 
2023-01-02/16:35:17		Encoding succesfully finished !!!!
2023-01-02/16:36:20		Encoding has been started.... 
2023-01-02/16:36:20		Encoding succesfully finished !!!!
2023-01-02/16:37:53		Encoding has been started.... 
2023-01-02/16:37:53		Encoding succesfully finished !!!!
2023-01-02/16:39:28		Encoding has been started.... 
2023-01-02/16:39:29		Encoding succesfully finished !!!!
2023-01-02/16:40:47		Encoding has been started.... 
2023-01-02/16:40:47		Encoding succesfully finished !!!!
2023-01-02/16:41:56		Encoding has been started.... 
2023-01-02/16:41:57		Encoding succesfully finished !!!!
2023-01-02/16:44:12		Encoding has been started.... 
2023-01-02/16:44:12		Encoding succesfully finished !!!!
2023-01-02/16:45:34		Encoding has been started.... 
2023-01-02/16:45:34		Encoding succesfully finished !!!!
2023-01-02/16:46:43		Encoding has been started.... 
2023-01-02/16:46:43		Encoding succesfully finished !!!!
2023-01-02/16:48:24		Encoding has been started.... 
2023-01-02/16:48:24		Encoding succesfully finished !!!!
2023-01-02/16:54:22		Encoding has been started.... 
2023-01-02/16:54:23		Encoding succesfully finished !!!!
2023-01-03/12:25:29		Encoding has been started.... 
2023-01-03/12:25:29		Encoding succesfully finished !!!!
2023-01-03/12:27:36		Encoding has been started.... 
2023-01-03/12:27:37		Encoding succesfully finished !!!!
2023-01-03/14:40:57		Encoding has been started.... 
2023-01-03/14:40:57		Encoding succesfully finished !!!!
2023-01-04/12:02:07		Encoding has been started.... 
2023-01-04/12:02:07		Encoding succesfully finished !!!!
2023-01-04/16:40:34		Encoding has been started.... 
2023-01-04/16:40:35		Encoding succesfully finished !!!!
2023-01-04/17:12:30		Encoding has been started.... 
2023-01-04/17:12:31		Encoding succesfully finished !!!!
2023-01-04/17:13:34		Encoding has been started.... 
2023-01-04/17:13:34		Encoding succesfully finished !!!!
2023-01-04/17:44:44		Encoding has been started.... 
2023-01-04/17:44:44		Encoding succesfully finished !!!!
2023-01-04/18:19:23		Encoding has been started.... 
2023-01-04/18:19:23		Encoding succesfully finished !!!!
2023-01-04/18:24:20		Encoding has been started.... 
2023-01-04/18:24:21		Encoding succesfully finished !!!!
2023-01-04/18:33:02		Encoding has been started.... 
2023-01-04/18:33:02		Encoding succesfully finished !!!!
2023-01-04/18:36:14		Encoding has been started.... 
2023-01-04/18:36:14		Encoding succesfully finished !!!!
2023-01-04/18:37:52		Encoding has been started.... 
2023-01-04/18:37:52		Encoding succesfully finished !!!!
2023-01-04/18:39:20		Encoding has been started.... 
2023-01-04/18:39:20		Encoding succesfully finished !!!!
2023-01-04/18:41:44		Encoding has been started.... 
2023-01-04/18:41:44		Encoding succesfully finished !!!!
2023-01-04/18:43:53		Encoding has been started.... 
2023-01-04/18:43:53		Encoding succesfully finished !!!!
2023-01-04/18:46:41		Encoding has been started.... 
2023-01-04/18:46:41		Encoding succesfully finished !!!!
2023-01-04/18:49:56		Encoding has been started.... 
2023-01-04/18:49:56		Encoding succesfully finished !!!!
2023-01-04/19:08:54		Encoding has been started.... 
2023-01-04/19:08:54		Encoding succesfully finished !!!!
2023-01-07/13:43:11		Encoding has been started.... 
2023-01-07/13:43:12		Encoding succesfully finished !!!!
2023-01-07/15:29:12		Encoding has been started.... 
2023-01-07/15:29:12		Encoding succesfully finished !!!!
2023-01-07/15:35:43		Encoding has been started.... 
2023-01-07/15:35:43		Encoding succesfully finished !!!!
2023-01-07/15:37:05		Encoding has been started.... 
2023-01-07/15:37:05		Encoding succesfully finished !!!!
2023-01-07/15:40:31		Encoding has been started.... 
2023-01-07/15:40:31		Encoding succesfully finished !!!!
2023-01-07/15:41:28		Encoding has been started.... 
2023-01-07/15:41:28		Encoding succesfully finished !!!!
2023-01-07/15:49:27		Encoding has been started.... 
2023-01-07/15:49:27		Encoding succesfully finished !!!!
2023-01-07/15:50:55		Encoding has been started.... 
2023-01-07/15:50:55		Encoding succesfully finished !!!!
2023-01-07/15:52:50		Encoding has been started.... 
2023-01-07/15:52:50		Encoding succesfully finished !!!!
2023-01-07/15:54:54		Encoding has been started.... 
2023-01-07/15:54:54		Encoding succesfully finished !!!!
2023-01-07/15:56:48		Encoding has been started.... 
2023-01-07/15:56:48		Encoding succesfully finished !!!!
2023-01-07/15:58:47		Encoding has been started.... 
2023-01-07/15:58:48		Encoding succesfully finished !!!!
2023-01-07/16:00:04		Encoding has been started.... 
2023-01-07/16:00:04		Encoding succesfully finished !!!!
2023-01-07/16:02:00		Encoding has been started.... 
2023-01-07/16:02:00		Encoding succesfully finished !!!!
2023-01-07/16:09:32		Encoding has been started.... 
2023-01-07/16:09:32		Encoding succesfully finished !!!!
2023-01-08/11:46:08		Encoding has been started.... 
2023-01-08/11:46:08		Encoding succesfully finished !!!!
2023-01-08/12:51:44		Encoding has been started.... 
2023-01-08/12:51:44		Encoding succesfully finished !!!!
2023-01-08/12:53:43		Encoding has been started.... 
2023-01-08/12:53:43		Encoding succesfully finished !!!!
2023-01-08/12:53:44		Encoding has been started.... 
2023-01-08/12:53:44		Encoding succesfully finished !!!!
2023-01-08/13:18:07		Encoding has been started.... 
2023-01-08/13:18:07		Encoding succesfully finished !!!!
2023-01-08/13:18:08		Encoding has been started.... 
2023-01-08/13:18:08		Encoding succesfully finished !!!!
2023-01-08/15:42:20		Encoding has been started.... 
2023-01-08/15:42:20		Encoding succesfully finished !!!!
2023-01-08/15:43:16		Encoding has been started.... 
2023-01-08/15:43:16		Encoding succesfully finished !!!!
2023-01-08/15:43:17		Encoding has been started.... 
2023-01-08/15:43:17		Encoding succesfully finished !!!!
2023-01-08/15:48:06		Encoding has been started.... 
2023-01-08/15:48:07		Encoding succesfully finished !!!!
2023-01-08/15:48:08		Encoding has been started.... 
2023-01-08/15:48:08		Encoding succesfully finished !!!!
2023-01-08/15:50:46		Encoding has been started.... 
2023-01-08/15:50:46		Encoding succesfully finished !!!!
2023-01-08/15:55:44		Encoding has been started.... 
2023-01-08/15:55:44		Encoding succesfully finished !!!!
2023-01-08/15:56:14		Encoding has been started.... 
2023-01-08/15:56:14		Encoding succesfully finished !!!!
2023-01-08/15:59:53		Encoding has been started.... 
